Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Choosed
76,male,programmer,O,142,86,doctor,6100,no
44,third,neet,B,142,71,doctor,4600,no
15,male,neet,O,193,86,senior high,6200,no
31,female,teacher,AB,197,88,university,430,no
55,female,neet,A,190,80,primary,7000,no
84,female,scientest,B,197,37,senior high,80,no
46,male,singer,AB,176,70,primary,27,no
76,male,teacher,O,161,71,master,520,no
36,female,programmer,O,189,61,senior high,390,yes
98,female,teacher,A,140,78,senior high,500,no
76,female,student,AB,148,95,master,920,no
60,third,programmer,B,147,57,senior high,660,no
59,third,singer,AB,156,40,university,19,no
48,third,chef,A,174,98,senior high,23,yes
45,third,neet,B,163,96,senior high,17,no
59,male,student,AB,147,75,university,34,no
36,third,student,B,140,86,master,9500,no
25,female,neet,AB,142,54,university,450,no
47,third,singer,O,167,66,doctor,870,no
40,male,scientest,A,191,37,senior high,560,no
93,male,student,B,175,44,primary,1700,no
42,third,singer,B,172,94,primary,51,no
71,male,student,A,195,36,master,990,no
42,male,salesman,A,171,36,senior high,7900,no
75,third,singer,B,187,35,doctor,20,no
34,third,salesman,O,164,60,doctor,67,yes
92,third,student,AB,170,68,doctor,75,no
30,male,teacher,AB,195,95,senior high,35,no
11,female,engineer,B,194,57,primary,19,no
20,female,student,B,177,60,master,97,no
42,male,scientest,A,176,37,primary,40,no
80,third,scientest,O,150,41,senior high,59,no
8,female,programmer,B,167,55,junior high,970,no
72,third,scientest,O,169,49,junior high,46,no
71,third,singer,O,168,35,doctor,2000,no
95,female,scientest,B,149,92,master,2100,no
18,female,programmer,A,175,64,junior high,84,no
98,third,neet,AB,169,71,university,83,no
92,female,student,B,183,86,university,3400,no
3,male,salesman,O,179,93,university,51,no
63,female,neet,O,166,80,university,34,no
2,third,teacher,AB,158,53,doctor,99,no
66,third,student,A,188,92,master,570,no
85,male,student,O,149,49,master,79,no
41,male,neet,O,162,68,junior high,6000,no
14,male,student,AB,165,57,junior high,50,no
17,male,engineer,AB,149,35,master,1600,no
67,female,scientest,AB,141,49,primary,74,no
5,female,programmer,AB,142,49,doctor,21,no
75,female,programmer,AB,167,73,master,340,no
85,male,student,AB,178,50,master,1800,no
96,male,student,AB,177,77,junior high,930,no
52,third,student,B,170,57,senior high,27,no
22,female,teacher,B,182,74,primary,1100,no
44,male,salesman,A,145,42,primary,480,no
85,third,programmer,B,196,88,university,64,no
23,female,chef,A,178,76,junior high,650,yes
92,female,salesman,AB,192,41,senior high,840,no
30,female,salesman,AB,188,64,master,3,no
82,male,programmer,B,167,70,senior high,19,no
13,third,neet,A,156,41,primary,950,no
28,third,programmer,O,142,88,master,830,yes
98,female,student,AB,172,98,master,270,no
86,female,teacher,A,145,81,primary,61,no
80,female,scientest,AB,186,35,master,180,no
55,female,student,A,186,35,junior high,2400,no
63,third,teacher,O,147,93,junior high,5400,no
81,third,singer,B,163,94,senior high,590,no
23,female,programmer,AB,170,55,master,38,yes
94,male,programmer,B,176,43,doctor,8900,no
24,male,chef,A,143,97,university,50,yes
42,third,scientest,B,148,97,senior high,3500,no
22,third,scientest,A,147,42,senior high,800,no
2,female,student,AB,172,58,university,7300,no
41,third,teacher,AB,148,79,doctor,25,no
2,male,scientest,AB,161,61,doctor,210,no
15,female,scientest,AB,181,91,university,1000,no
44,female,neet,O,159,81,junior high,9400,no
88,third,programmer,B,173,65,master,870,no
78,male,teacher,A,186,36,master,95,no
61,male,singer,O,184,68,junior high,22,no
41,male,chef,AB,182,81,university,9400,yes
99,third,teacher,B,149,65,junior high,25,no
3,female,singer,AB,185,94,master,3000,no
67,male,neet,O,144,54,doctor,3900,no
18,female,teacher,AB,159,98,doctor,510,no
43,third,chef,B,155,38,senior high,180,yes
53,male,engineer,AB,163,93,doctor,200,no
11,male,student,AB,148,81,doctor,520,no
21,female,programmer,AB,167,85,primary,580,no
17,third,teacher,O,159,45,senior high,23,yes
60,male,neet,O,168,79,primary,850,no
34,male,chef,A,182,76,university,940,yes
2,third,neet,AB,160,85,junior high,220,no
20,female,programmer,A,174,70,primary,99,no
63,male,neet,O,153,76,university,1000,no
93,female,singer,A,178,47,university,2700,no
51,third,chef,A,180,38,doctor,6500,no
67,female,student,B,148,77,university,4700,no
91,male,teacher,AB,148,73,primary,20,no
78,third,neet,AB,190,38,master,19,no
16,male,chef,AB,178,88,junior high,10,no
46,third,neet,B,149,77,master,2100,no
37,third,teacher,O,157,90,junior high,210,yes
41,male,teacher,O,193,47,doctor,5000,no
11,female,teacher,AB,169,70,primary,1,no
72,male,engineer,B,185,52,junior high,1700,no
62,male,engineer,AB,186,76,primary,210,no
90,female,student,O,175,84,primary,64,no
69,third,teacher,A,178,58,doctor,71,no
66,third,programmer,B,140,60,primary,740,no
91,third,engineer,O,181,91,master,40,no
67,third,engineer,B,144,41,primary,67,no
11,third,chef,O,191,68,master,210,no
90,third,singer,B,144,61,junior high,700,no
71,male,singer,A,195,96,doctor,5300,no
21,male,scientest,AB,173,77,master,7000,no
10,male,scientest,B,157,60,senior high,45,no
9,female,chef,B,197,54,junior high,230,no
46,third,student,A,173,99,doctor,9900,no
56,female,engineer,A,143,66,senior high,9300,no
42,female,neet,AB,145,91,primary,100,no
41,female,neet,AB,165,67,senior high,18,no
91,female,singer,B,155,74,junior high,9100,no
86,female,singer,B,193,47,senior high,51,no
21,male,chef,O,159,38,university,32,yes
42,male,engineer,B,190,62,master,900,yes
2,female,scientest,AB,158,68,doctor,56,no
27,female,scientest,B,168,69,doctor,42,yes
28,male,chef,O,162,70,junior high,330,yes
50,female,engineer,A,158,47,senior high,610,no
16,female,programmer,A,193,98,junior high,2100,no
52,third,engineer,B,160,75,university,3400,no
24,third,student,AB,146,81,university,38,no
44,male,engineer,B,166,59,master,950,yes
22,male,teacher,AB,162,85,primary,7800,no
29,male,scientest,B,145,85,junior high,61,no
49,male,scientest,O,158,47,university,650,no
38,male,teacher,B,181,92,doctor,480,no
11,male,teacher,B,197,87,primary,140,no
55,third,teacher,O,173,90,junior high,990,no
79,female,singer,A,164,41,university,2100,no
27,male,singer,A,171,67,senior high,8700,no
33,male,scientest,AB,152,55,junior high,420,no
43,third,chef,O,199,36,doctor,910,yes
95,male,student,B,162,63,junior high,6400,no
46,male,scientest,AB,147,79,junior high,900,no
84,third,student,B,166,62,senior high,6700,no
20,third,scientest,AB,143,90,university,7000,no
17,third,teacher,B,162,88,primary,870,no
42,third,programmer,A,162,95,master,6400,yes
37,third,scientest,AB,142,96,senior high,85,no
46,male,singer,B,165,55,primary,30,no
39,male,salesman,B,147,84,university,40,no
21,third,salesman,B,169,91,junior high,290,no
12,female,salesman,AB,152,77,senior high,78,no
33,third,student,B,169,77,master,630,no
23,female,neet,AB,188,95,junior high,4600,no
8,third,salesman,A,177,70,university,60,no
1,female,scientest,A,191,68,junior high,8300,no
39,male,chef,O,173,90,university,250,yes
93,male,programmer,B,197,63,primary,82,no
61,third,neet,AB,186,68,university,85,no
38,male,scientest,AB,189,42,junior high,330,no
87,third,salesman,B,174,85,senior high,6400,no
73,male,salesman,A,141,43,doctor,59,no
7,female,engineer,A,198,50,primary,48,no
26,female,programmer,AB,146,65,senior high,480,no
23,male,programmer,O,176,45,primary,10,yes
9,female,salesman,O,151,93,master,280,no
16,male,neet,A,164,79,doctor,97,no
32,female,neet,A,143,59,primary,1700,no
97,male,student,AB,143,44,senior high,50,no
18,male,programmer,B,199,35,doctor,210,no
31,third,chef,O,193,77,primary,3200,yes
55,female,teacher,A,142,91,university,38,no
40,male,salesman,AB,162,56,university,79,no
49,third,singer,A,143,79,junior high,63,no
57,male,engineer,AB,146,35,doctor,4900,no
26,male,student,O,155,92,doctor,22,yes
68,male,engineer,B,149,50,junior high,820,no
76,third,chef,B,191,88,primary,72,no
65,male,scientest,B,159,55,university,930,no
87,third,neet,AB,160,44,primary,56,no
43,third,salesman,O,153,47,junior high,760,no
44,third,teacher,O,176,87,university,70,no
41,male,student,O,158,80,junior high,8800,no
52,male,scientest,AB,165,40,master,37,no
92,male,engineer,A,142,40,doctor,300,no
11,male,teacher,A,176,38,university,330,yes
40,third,salesman,O,158,39,primary,760,yes
34,third,engineer,AB,168,99,university,400,no
50,female,singer,O,188,49,master,19,no
89,third,teacher,AB,154,79,senior high,390,no
27,female,student,B,186,79,senior high,370,no
58,male,salesman,AB,189,48,primary,1100,no
51,third,programmer,AB,186,90,doctor,7000,no
26,third,chef,AB,156,46,junior high,7000,yes
68,third,neet,O,175,96,junior high,8900,no
6,male,engineer,B,182,90,master,37,no
89,third,programmer,O,188,71,senior high,6700,no
63,third,engineer,AB,162,62,doctor,69,no
33,female,singer,AB,187,57,university,20,no
35,female,singer,O,171,35,doctor,300,yes
72,male,singer,A,144,95,master,9600,no
19,male,salesman,B,192,72,doctor,330,no
84,third,chef,B,166,97,master,3500,no
73,female,scientest,B,143,58,doctor,970,no
35,female,teacher,O,174,36,primary,9900,yes
5,female,programmer,AB,167,91,junior high,40,no
39,third,programmer,O,190,67,senior high,8100,yes
14,male,singer,B,180,35,primary,8700,no
91,female,teacher,AB,174,96,senior high,5900,no
1,female,scientest,AB,168,79,primary,59,no
45,male,engineer,A,142,91,doctor,26,yes
44,male,singer,O,182,78,doctor,8800,no
92,male,scientest,A,198,76,junior high,5300,no
17,female,programmer,A,196,75,senior high,2100,no
16,male,salesman,B,190,82,university,13,no
94,third,chef,O,154,40,university,440,no
96,third,teacher,A,180,59,master,94,no
56,female,singer,O,175,52,master,38,no
72,third,chef,B,172,84,junior high,320,no
11,female,singer,A,140,76,senior high,7400,no
93,female,programmer,B,163,48,junior high,70,no
84,third,engineer,AB,190,42,primary,48,no
93,female,singer,O,147,99,master,2100,no
83,female,teacher,O,168,46,senior high,50,no
7,third,programmer,AB,165,51,university,9700,no
76,male,programmer,B,173,89,master,2900,no
45,male,neet,B,180,84,senior high,80,no
32,female,teacher,AB,142,95,university,8900,no
14,female,teacher,B,152,69,doctor,8200,no
33,third,teacher,O,199,81,university,800,yes
55,third,neet,AB,182,57,senior high,60,no
86,female,chef,B,160,77,junior high,37,no
49,female,singer,A,160,50,doctor,650,no
8,female,teacher,B,164,37,university,140,no
13,male,chef,B,182,79,junior high,680,no
73,female,neet,B,147,42,junior high,23,no
70,third,chef,O,177,38,primary,500,no
95,third,teacher,O,158,82,primary,340,no
75,male,singer,A,172,52,senior high,70,no
0,third,singer,B,163,65,doctor,920,no
83,third,neet,A,162,50,junior high,95,no
85,female,chef,O,187,86,junior high,8700,no
90,third,programmer,B,187,36,junior high,8700,no
48,third,neet,AB,161,77,master,9400,no
27,male,scientest,B,199,90,university,80,no
67,third,programmer,B,198,51,doctor,7000,no
99,female,singer,O,182,76,master,5,no
32,female,neet,AB,177,89,master,77,no
77,male,scientest,O,146,66,doctor,340,no
66,third,programmer,B,178,42,primary,82,no
29,male,student,A,143,60,doctor,40,no
49,male,scientest,AB,164,60,university,460,no
11,third,student,AB,197,63,university,920,no
50,male,programmer,A,145,72,master,6000,yes
28,male,programmer,B,153,84,primary,100,no
21,female,salesman,AB,148,35,master,31,no
71,male,salesman,AB,199,58,junior high,56,no
80,female,programmer,AB,172,50,primary,270,no
38,female,scientest,A,186,98,master,6400,yes
