Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Choosed
69,male,student,AB,172,72,junior high,800,no
70,third,singer,O,174,83,university,7800,no
87,third,scientest,O,171,54,junior high,37,no
24,male,programmer,AB,163,75,primary,50,no
98,male,teacher,AB,152,48,doctor,2300,no
18,female,programmer,B,191,67,doctor,30,no
30,male,singer,AB,169,99,doctor,860,no
72,male,programmer,AB,184,86,university,90,no
96,male,neet,O,191,83,junior high,290,no
69,male,singer,O,162,51,junior high,15,no
2,third,chef,O,193,57,university,2200,no
69,male,chef,A,168,69,university,20,no
32,third,neet,AB,167,69,university,9400,no
0,female,chef,AB,183,80,senior high,6700,no
57,third,salesman,B,140,71,senior high,420,no
20,male,neet,O,142,98,senior high,240,yes
14,third,teacher,AB,170,73,senior high,420,no
90,female,teacher,A,148,67,primary,42,no
41,third,chef,B,187,58,primary,390,yes
71,female,scientest,A,166,47,primary,760,no
78,male,chef,AB,143,60,junior high,44,no
10,male,engineer,AB,184,42,senior high,8,yes
45,female,salesman,B,190,60,primary,460,no
43,female,salesman,A,174,91,master,7600,no
65,third,student,AB,177,42,master,8300,no
16,female,salesman,B,163,47,university,1,no
84,third,neet,AB,157,97,senior high,4200,no
65,female,programmer,B,187,72,master,2100,no
11,male,chef,A,187,73,university,49,no
82,female,engineer,B,189,44,master,6700,no
40,third,singer,AB,180,37,doctor,87,no
20,male,neet,O,196,53,doctor,8300,yes
2,male,teacher,B,140,86,doctor,620,no
22,third,chef,A,142,88,junior high,1600,yes
51,female,singer,B,156,76,primary,6700,no
5,male,singer,B,199,57,primary,690,no
9,female,student,B,198,38,master,5600,no
41,third,teacher,O,154,36,senior high,910,no
59,third,scientest,A,174,53,doctor,4700,no
94,third,teacher,O,163,35,doctor,4200,no
53,third,engineer,AB,192,72,senior high,1400,no
25,male,salesman,A,178,49,university,670,no
27,third,student,AB,188,70,master,51,no
31,female,singer,B,190,83,primary,8100,no
53,female,salesman,O,193,50,primary,600,no
77,female,engineer,AB,172,83,junior high,84,no
71,third,salesman,B,199,91,doctor,56,no
48,male,neet,B,178,45,master,59,no
81,female,teacher,O,185,67,university,5800,no
83,male,engineer,B,188,61,university,73,no
48,male,salesman,B,198,35,senior high,4100,no
27,male,scientest,B,147,86,junior high,9700,no
71,male,salesman,AB,187,60,master,82,no
19,third,engineer,O,188,59,junior high,960,yes
63,third,scientest,O,194,97,junior high,70,no
51,male,neet,A,159,99,doctor,500,no
55,male,student,O,187,39,senior high,57,no
13,third,neet,AB,160,94,master,250,no
2,female,programmer,O,148,88,junior high,48,no
18,third,chef,A,146,70,junior high,9400,yes
83,male,scientest,A,178,45,junior high,50,no
52,female,salesman,B,153,58,senior high,84,no
42,male,teacher,O,155,51,university,910,no
73,female,chef,AB,183,50,primary,8200,no
42,male,teacher,O,141,68,master,770,no
52,third,engineer,O,193,70,senior high,630,no
89,male,neet,B,196,62,doctor,620,no
73,female,neet,B,176,43,university,9400,no
56,female,salesman,O,177,76,junior high,39,no
6,third,student,O,154,59,primary,270,no
95,third,singer,AB,165,57,senior high,18,no
39,female,salesman,AB,175,49,doctor,310,no
12,third,salesman,AB,196,35,doctor,170,no
24,third,salesman,A,194,98,master,2800,no
4,third,student,B,159,64,junior high,82,no
8,female,student,A,157,98,master,830,no
66,female,teacher,AB,199,61,doctor,690,no
37,third,chef,B,141,84,master,68,yes
77,male,singer,O,174,41,senior high,410,no
96,female,chef,B,160,72,master,62,no
86,male,neet,A,160,61,senior high,40,no
66,female,chef,O,157,49,senior high,4000,no
76,third,singer,A,145,89,junior high,370,no
21,third,engineer,AB,195,49,doctor,220,no
72,third,teacher,O,162,87,senior high,270,no
61,third,neet,A,181,35,master,800,no
67,female,scientest,B,193,68,master,97,no
27,male,scientest,O,168,65,senior high,86,yes
35,third,student,A,158,62,senior high,30,no
83,male,engineer,AB,199,81,primary,310,no
36,female,singer,AB,184,80,junior high,12,no
76,male,chef,O,194,58,junior high,510,no
29,female,engineer,O,171,84,university,320,yes
46,male,engineer,O,151,91,junior high,4500,no
94,male,neet,A,157,59,primary,16,no
31,third,singer,AB,184,73,junior high,870,no
36,male,singer,A,180,98,junior high,31,no
39,third,neet,AB,165,63,university,2500,no
58,third,chef,A,165,82,primary,760,no
32,third,salesman,A,185,92,senior high,120,no
14,female,student,AB,168,83,junior high,29,no
22,third,teacher,AB,183,83,master,24,no
42,female,chef,AB,176,61,university,8200,yes
16,third,programmer,A,177,82,doctor,86,no
69,male,student,AB,191,46,primary,7900,no
19,female,chef,AB,160,80,master,2000,yes
57,male,teacher,B,186,69,university,56,no
95,female,programmer,A,155,80,doctor,480,no
12,male,programmer,B,180,69,junior high,5600,no
44,third,student,AB,146,85,master,7300,no
69,third,teacher,B,148,86,university,280,no
28,female,singer,A,163,52,master,3200,no
48,female,chef,AB,152,55,primary,600,yes
45,male,student,AB,191,74,senior high,960,no
19,male,engineer,A,187,51,university,20,no
55,male,scientest,A,188,65,primary,36,no
78,male,scientest,O,154,56,senior high,11,no
91,male,singer,B,183,76,junior high,6600,no
81,female,chef,AB,172,39,junior high,65,no
78,male,chef,A,165,66,senior high,460,no
64,female,chef,B,160,47,doctor,30,no
39,third,scientest,B,186,48,senior high,4300,no
69,female,programmer,A,186,49,junior high,35,no
63,third,neet,B,195,81,master,570,no
49,female,chef,A,199,72,doctor,3100,yes
26,male,programmer,A,146,80,doctor,200,yes
2,male,programmer,A,184,48,junior high,98,no
14,third,teacher,O,191,75,senior high,490,no
48,female,student,AB,169,92,primary,6900,no
89,third,chef,O,174,55,senior high,630,no
77,third,singer,A,155,93,primary,870,no
41,male,singer,AB,170,70,master,41,no
57,female,neet,AB,140,58,junior high,800,no
26,third,programmer,O,174,89,doctor,82,yes
75,male,neet,AB,184,40,junior high,4900,no
55,female,engineer,AB,196,36,doctor,350,no
47,third,neet,O,152,81,senior high,6000,no
4,third,programmer,B,186,90,senior high,52,no
32,male,salesman,B,152,35,junior high,6000,no
64,female,programmer,A,196,40,primary,6000,no
70,male,neet,AB,174,53,junior high,11,no
19,male,salesman,AB,180,38,senior high,48,no
31,female,programmer,O,149,98,primary,7900,yes
46,male,scientest,O,178,38,senior high,500,no
49,third,salesman,AB,194,42,university,79,no
75,female,student,B,181,68,doctor,660,no
74,male,programmer,A,189,51,doctor,790,no
46,female,engineer,B,177,99,junior high,46,no
76,male,chef,B,163,87,junior high,630,no
7,female,programmer,A,187,95,junior high,92,no
61,third,engineer,B,184,90,master,8400,no
71,third,student,A,142,90,primary,1100,no
57,third,engineer,O,161,97,master,4,no
65,female,neet,AB,147,94,senior high,4200,no
31,third,teacher,O,145,78,doctor,36,yes
53,female,singer,O,166,38,doctor,8700,no
45,third,student,B,155,82,senior high,48,no
19,male,student,B,177,48,doctor,5800,no
62,male,chef,A,176,70,senior high,850,no
