Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Cosplay
	14,	0,	0,	3,	172,	82,	0,	210,	1
	83,	0,	1,	3,	178,	45,	1,	98,	1
	42,	1,	7,	3,	184,	49,	5,	300,	1
	24,	1,	5,	0,	181,	86,	2,	8300,	1
	8,	1,	8,	3,	165,	73,	2,	16,	0
	45,	1,	2,	3,	142,	79,	2,	40,	1
	86,	2,	0,	3,	193,	91,	0,	78,	1
	30,	2,	4,	2,	162,	39,	4,	76,	0
	54,	2,	8,	3,	163,	56,	0,	340,	1
	31,	0,	0,	0,	174,	41,	2,	890,	0
	24,	1,	3,	1,	189,	51,	0,	520,	1
	34,	2,	7,	0,	180,	89,	4,	88,	1
	39,	2,	3,	0,	183,	40,	0,	62,	0
	13,	0,	9,	3,	145,	40,	2,	13,	1
	1,	1,	5,	0,	196,	77,	0,	74,	0
	21,	1,	8,	0,	187,	77,	4,	3300,	1
	85,	0,	0,	1,	158,	57,	1,	87,	1
	80,	2,	8,	2,	164,	68,	5,	610,	1
	81,	1,	1,	3,	141,	36,	3,	9200,	1
	83,	0,	2,	2,	168,	60,	2,	80,	0
