Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Choosed
8,male,chef,AB,149,73,doctor,410,no
41,third,programmer,B,199,81,doctor,6100,yes
73,male,programmer,B,188,73,doctor,800,no
47,third,student,O,147,96,doctor,150,no
54,male,teacher,AB,191,42,university,530,no
94,female,programmer,O,164,42,junior high,75,no
53,female,singer,AB,159,52,senior high,2,no
40,male,student,O,142,60,primary,72,yes
83,third,singer,B,177,43,junior high,10,no
82,female,neet,A,161,90,doctor,870,no
51,female,teacher,B,179,41,master,5,no
25,male,chef,O,184,96,university,340,yes
56,male,programmer,O,177,96,junior high,7,no
42,third,scientest,O,161,76,primary,2,no
65,third,neet,AB,185,61,primary,640,no
52,female,engineer,B,162,50,doctor,310,no
34,male,singer,A,144,86,junior high,98,no
61,female,scientest,B,167,41,university,1500,no
84,male,scientest,O,162,80,doctor,7700,no
82,male,student,A,192,81,junior high,5700,no
47,female,teacher,A,183,61,junior high,730,no
94,male,chef,AB,153,57,primary,65,no
97,male,student,B,155,99,junior high,38,no
13,male,scientest,AB,180,59,senior high,10,no
90,male,chef,A,164,56,doctor,950,no
33,male,scientest,A,194,85,master,400,yes
45,female,engineer,B,198,49,senior high,600,no
82,third,chef,AB,194,41,primary,3800,no
54,third,engineer,AB,159,43,doctor,4600,no
67,third,neet,B,162,99,senior high,1600,no
46,female,engineer,A,183,41,senior high,6100,no
74,female,engineer,O,162,86,doctor,700,no
59,male,neet,AB,182,66,university,56,no
73,male,chef,AB,155,83,senior high,970,no
98,third,programmer,AB,148,60,junior high,1900,no
57,male,singer,O,167,58,junior high,720,no
97,male,chef,O,170,91,doctor,3000,no
16,third,neet,O,172,56,doctor,8800,yes
12,third,programmer,B,150,45,junior high,450,no
37,male,teacher,B,162,71,junior high,35,no
84,male,student,A,146,51,junior high,91,no
15,third,singer,A,147,98,master,6300,no
91,male,scientest,B,181,69,university,800,no
36,male,scientest,O,178,90,master,76,yes
62,third,singer,O,153,46,junior high,670,no
30,female,chef,B,168,86,university,4100,yes
56,third,salesman,B,180,74,university,1200,no
77,male,singer,A,143,81,university,360,no
81,third,neet,A,147,56,senior high,40,no
54,third,programmer,B,150,64,primary,690,no
82,female,singer,AB,149,84,senior high,48,no
47,third,programmer,A,165,56,primary,24,no
57,third,scientest,B,142,86,university,4600,no
80,male,chef,B,162,99,primary,51,no
79,third,engineer,A,159,78,junior high,1900,no
19,female,engineer,B,178,76,doctor,25,no
30,male,neet,A,196,50,university,27,no
70,third,scientest,O,151,93,master,47,no
4,third,scientest,O,158,94,senior high,6500,no
98,third,salesman,O,185,68,senior high,340,no
30,male,chef,B,156,85,primary,71,yes
29,male,salesman,O,143,42,junior high,6800,yes
51,female,programmer,O,145,72,doctor,960,no
29,male,student,O,168,75,university,860,yes
2,male,scientest,AB,175,94,doctor,90,no
47,male,salesman,AB,180,67,junior high,38,no
35,third,student,AB,198,55,primary,32,no
74,male,singer,A,159,89,senior high,89,no
20,male,scientest,B,167,79,university,84,no
57,third,teacher,AB,147,47,senior high,590,no
16,third,scientest,A,144,56,university,76,no
18,female,chef,B,197,49,senior high,540,yes
61,third,neet,O,194,87,master,510,no
67,male,engineer,B,160,86,senior high,60,no
81,female,programmer,AB,197,94,senior high,8700,no
83,female,programmer,O,161,44,junior high,7800,no
44,female,student,O,159,40,primary,830,no
27,third,programmer,B,160,50,senior high,54,no
92,female,singer,A,187,69,junior high,550,no
1,third,neet,O,169,66,senior high,230,no
59,third,scientest,A,163,59,junior high,1000,no
85,third,singer,AB,191,65,primary,1500,no
51,third,engineer,O,169,97,senior high,280,no
66,male,singer,A,189,47,senior high,600,no
42,male,singer,AB,159,73,doctor,210,no
64,male,chef,AB,154,95,doctor,220,no
12,third,student,AB,146,93,doctor,25,no
24,female,engineer,B,156,83,senior high,99,no
22,third,programmer,O,156,43,senior high,10000,yes
11,third,programmer,O,174,66,doctor,75,no
10,female,scientest,O,163,77,doctor,7400,no
84,male,scientest,O,173,70,university,6000,no
1,female,salesman,AB,140,77,university,4300,no
19,third,scientest,AB,177,76,master,66,no
63,male,programmer,A,177,74,senior high,79,no
27,third,singer,B,163,70,primary,100,no
18,female,scientest,B,144,76,primary,7800,no
98,male,programmer,AB,159,66,university,680,no
30,female,chef,A,160,64,senior high,820,yes
55,male,programmer,B,178,79,university,1200,no
86,male,singer,O,167,47,primary,70,no
71,female,teacher,A,165,36,primary,300,no
25,male,programmer,A,184,93,primary,3800,no
7,female,programmer,A,179,64,university,79,no
34,female,neet,AB,177,45,doctor,34,no
31,third,neet,O,180,88,junior high,8200,yes
70,female,scientest,O,199,42,senior high,54,no
80,female,scientest,AB,163,54,university,8400,no
85,third,engineer,B,174,40,junior high,10,no
74,female,scientest,A,140,37,university,240,no
66,third,neet,O,195,85,primary,130,no
75,third,engineer,AB,174,46,university,990,no
0,female,teacher,O,140,80,primary,1000,no
82,third,neet,A,180,91,senior high,67,no
65,third,programmer,AB,153,84,primary,4100,no
84,third,neet,AB,161,95,doctor,2200,no
19,third,scientest,B,152,94,doctor,37,no
97,female,programmer,A,195,99,senior high,72,no
93,third,singer,AB,195,91,doctor,74,no
34,third,salesman,A,175,45,master,7800,no
73,female,teacher,A,198,61,university,5400,no
28,female,teacher,B,167,74,university,170,no
58,female,student,AB,192,73,primary,2400,no
65,female,singer,B,147,87,senior high,10000,no
36,female,scientest,B,169,83,master,30,yes
32,male,singer,A,189,80,senior high,940,no
34,male,chef,O,163,38,university,65,yes
55,third,scientest,AB,170,89,university,500,no
22,female,neet,AB,160,75,university,1100,no
7,male,salesman,A,181,44,junior high,630,no
70,male,engineer,A,146,48,university,8000,no
85,female,student,A,194,72,master,200,no
18,female,neet,A,167,63,doctor,62,no
12,female,chef,A,198,93,master,4700,no
46,third,student,A,170,35,senior high,22,no
88,third,neet,AB,160,66,senior high,1900,no
67,female,neet,AB,188,59,junior high,710,no
83,male,engineer,B,182,63,junior high,550,no
55,third,scientest,O,141,49,master,9800,no
47,third,singer,A,197,50,university,9300,no
64,female,teacher,O,173,56,university,770,no
79,male,salesman,B,157,73,primary,240,no
83,male,programmer,A,195,83,master,71,no
49,female,salesman,B,160,65,university,9100,no
59,third,scientest,A,184,74,university,4800,no
87,third,neet,B,192,52,senior high,640,no
92,male,student,B,181,70,master,2800,no
6,male,neet,AB,177,63,university,1000,no
68,male,salesman,AB,176,71,master,360,no
38,third,salesman,AB,198,50,junior high,66,no
47,male,student,B,175,43,senior high,8700,no
36,male,programmer,AB,167,83,doctor,510,yes
37,third,salesman,AB,198,84,university,2600,no
74,female,engineer,O,148,89,primary,2100,no
21,female,engineer,AB,182,75,primary,460,no
11,female,scientest,O,151,37,primary,2800,yes
67,female,chef,O,181,48,senior high,2100,no
21,female,student,AB,157,60,doctor,80,no
88,third,teacher,A,149,85,university,1500,no
11,third,singer,AB,152,99,junior high,6700,no
64,female,student,A,196,86,master,560,no
65,third,programmer,A,185,45,primary,58,no
16,female,scientest,O,181,98,university,2900,yes
76,third,student,O,147,64,junior high,4300,no
67,third,chef,O,197,60,university,200,no
11,third,engineer,O,177,96,senior high,9700,no
92,male,singer,A,169,54,junior high,13,no
0,male,neet,A,176,66,master,620,no
31,female,salesman,A,140,66,primary,1000,no
25,male,engineer,A,187,54,senior high,98,no
94,third,chef,O,190,52,senior high,5200,no
77,female,programmer,A,168,61,master,20,no
86,male,neet,A,159,38,doctor,270,no
67,male,scientest,O,184,57,senior high,650,no
21,third,engineer,B,145,99,doctor,440,no
48,male,engineer,B,170,44,doctor,8900,yes
26,male,programmer,B,178,89,senior high,28,no
53,female,scientest,AB,150,36,senior high,17,no
49,third,singer,AB,150,69,senior high,590,no
50,female,chef,B,152,44,master,40,yes
69,male,singer,O,148,86,primary,810,no
57,female,scientest,B,143,95,master,4500,no
76,female,scientest,AB,164,51,primary,170,no
76,third,salesman,AB,152,61,junior high,1000,no
51,male,programmer,B,187,91,senior high,470,no
60,female,chef,A,141,46,junior high,7600,no
56,third,engineer,A,147,93,primary,400,no
62,male,chef,O,177,79,senior high,460,no
65,female,student,A,164,53,doctor,30,no
35,male,programmer,A,146,63,junior high,750,no
61,third,neet,B,198,65,junior high,770,no
21,third,student,A,161,80,junior high,530,no
3,female,engineer,O,174,39,primary,800,no
20,female,teacher,O,147,98,doctor,2000,yes
66,female,teacher,O,153,38,master,4000,no
40,female,neet,O,198,42,senior high,770,yes
78,female,engineer,AB,181,52,master,33,no
56,male,engineer,AB,185,45,university,1000,no
94,female,student,AB,143,77,senior high,52,no
18,female,singer,B,199,76,junior high,150,no
75,third,engineer,B,169,83,university,470,no
32,third,teacher,O,181,59,university,5,yes
69,third,programmer,AB,169,98,master,6300,no
81,male,student,B,146,53,senior high,82,no
89,female,neet,B,144,63,junior high,720,no
60,female,teacher,B,168,57,doctor,410,no
38,female,neet,B,177,64,junior high,9500,no
93,third,salesman,AB,196,73,senior high,160,no
99,male,neet,A,192,40,senior high,550,no
38,third,engineer,A,184,89,master,180,yes
11,male,programmer,AB,141,61,master,6000,no
57,female,chef,AB,143,87,doctor,24,no
0,third,chef,A,165,50,senior high,90,no
52,male,engineer,A,182,78,university,94,no
70,female,scientest,B,170,66,primary,14,no
75,male,singer,B,198,49,senior high,680,no
19,male,programmer,AB,147,65,master,70,no
33,third,singer,A,176,43,primary,9700,no
3,male,student,B,195,44,junior high,400,no
59,third,programmer,AB,198,51,junior high,5800,no
48,female,programmer,B,181,82,doctor,4200,yes
40,third,programmer,O,169,48,primary,830,yes
84,female,singer,O,184,89,doctor,1700,no
79,female,student,B,144,58,senior high,4300,no
66,third,engineer,O,158,80,university,170,no
93,third,engineer,B,145,88,master,2000,no
6,third,student,B,186,76,primary,74,no
3,male,chef,A,171,86,university,600,no
3,male,neet,B,175,96,doctor,710,no
77,female,student,O,151,60,master,48,no
97,third,neet,AB,146,37,university,54,no
62,third,salesman,B,169,51,primary,710,no
71,male,programmer,B,185,91,primary,33,no
