Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Choosed
45,male,student,AB,145,84,senior high,1500,no
48,third,teacher,O,152,41,master,55,no
89,male,singer,O,159,99,master,760,no
32,third,neet,AB,173,55,junior high,110,no
91,female,singer,AB,168,51,senior high,4500,no
12,third,scientest,A,182,99,senior high,97,no
73,female,chef,AB,173,91,junior high,8,no
25,third,chef,O,180,59,senior high,2400,yes
23,male,student,O,150,65,junior high,7600,yes
92,male,programmer,AB,147,52,junior high,46,no
19,third,teacher,AB,151,56,senior high,7300,no
78,male,neet,B,143,47,doctor,7000,no
88,third,salesman,O,144,37,doctor,200,no
23,third,programmer,B,145,74,university,97,no
48,male,engineer,A,167,86,junior high,110,no
25,female,scientest,O,188,91,primary,480,yes
43,female,salesman,O,194,78,university,88,no
86,male,neet,A,170,69,senior high,860,no
40,female,student,AB,184,48,junior high,570,no
52,third,programmer,AB,186,77,senior high,920,no
8,female,chef,O,172,85,master,300,no
28,female,student,AB,154,92,master,9700,no
70,female,engineer,O,175,66,doctor,72,no
25,male,engineer,O,158,54,junior high,710,yes
8,third,engineer,A,168,35,master,7900,no
89,third,chef,B,148,89,primary,6500,no
40,female,chef,B,148,55,master,94,yes
83,female,salesman,O,153,42,master,99,no
45,male,student,AB,141,44,senior high,56,no
46,female,chef,A,192,48,senior high,420,yes
34,third,singer,A,165,96,doctor,770,no
54,male,neet,O,198,49,master,230,no
66,third,neet,B,192,59,university,8700,no
34,third,salesman,A,146,66,master,870,no
0,third,engineer,AB,161,95,junior high,8700,no
60,third,singer,A,168,59,primary,1600,no
62,female,neet,A,154,51,doctor,55,no
27,male,singer,AB,162,40,primary,68,no
11,third,teacher,AB,144,76,junior high,430,no
77,female,chef,B,155,43,master,510,no
66,male,salesman,AB,181,77,master,670,no
0,male,salesman,A,144,58,doctor,95,no
4,female,neet,AB,169,59,senior high,5000,no
25,male,scientest,B,144,36,primary,3200,no
51,third,programmer,AB,197,60,primary,73,no
79,male,programmer,AB,183,84,junior high,6300,no
60,male,student,AB,182,72,senior high,94,no
53,female,teacher,AB,140,80,junior high,500,no
46,female,teacher,A,149,77,junior high,560,no
55,female,teacher,AB,149,50,junior high,320,no
16,male,neet,O,144,69,doctor,4,yes
27,male,teacher,B,188,92,senior high,960,no
63,male,teacher,O,146,51,senior high,90,no
42,female,chef,O,195,41,master,36,yes
19,male,chef,B,155,66,senior high,330,yes
57,female,neet,AB,197,82,senior high,49,no
30,female,neet,AB,186,49,junior high,62,no
67,female,singer,AB,168,86,master,7100,no
3,male,neet,B,170,38,primary,360,no
3,female,neet,AB,196,97,master,7100,no
21,female,chef,A,193,83,university,6600,yes
99,female,chef,B,171,72,junior high,330,no
54,male,engineer,B,156,99,doctor,300,no
8,male,teacher,AB,176,64,primary,4300,no
6,male,chef,B,140,59,doctor,1600,no
85,third,engineer,AB,146,65,doctor,20,no
41,third,programmer,B,147,95,master,4000,yes
87,male,programmer,O,193,95,junior high,3200,no
35,third,programmer,B,143,77,university,10000,no
18,female,programmer,AB,153,44,junior high,540,no
30,third,chef,O,195,81,primary,56,yes
82,male,programmer,O,187,95,master,5500,no
85,female,teacher,AB,157,42,senior high,1000,no
19,male,scientest,A,165,98,primary,5,no
20,female,chef,A,193,69,senior high,480,yes
96,male,salesman,A,187,94,doctor,8100,no
93,female,neet,O,145,39,primary,780,no
52,male,teacher,A,167,61,university,910,no
27,female,scientest,B,185,97,university,59,no
83,third,scientest,AB,181,96,university,830,no
76,male,engineer,AB,156,89,primary,1800,no
4,third,programmer,B,167,75,primary,81,no
64,female,engineer,O,175,57,doctor,67,no
54,female,singer,O,156,94,university,1000,no
34,female,student,O,148,84,master,2400,yes
39,female,student,A,140,92,primary,20,no
49,third,neet,B,156,63,master,980,no
51,third,neet,B,140,83,senior high,95,no
44,third,scientest,AB,176,67,doctor,730,yes
5,third,chef,A,143,37,primary,160,no
2,female,salesman,B,146,45,senior high,19,no
34,female,chef,AB,197,70,doctor,250,yes
1,female,salesman,B,176,55,senior high,640,no
87,female,programmer,AB,175,79,doctor,610,no
2,third,engineer,O,165,40,senior high,660,no
23,third,student,AB,196,68,doctor,82,no
96,male,student,A,196,89,doctor,6800,no
60,male,neet,A,157,97,junior high,2900,no
44,female,salesman,A,142,68,junior high,570,no
18,male,singer,B,156,74,master,8600,no
78,female,teacher,AB,196,74,junior high,5100,no
48,male,programmer,AB,185,43,university,39,no
4,third,scientest,B,169,58,junior high,8000,no
92,male,salesman,A,175,67,university,44,no
72,female,programmer,B,195,82,doctor,3000,no
77,male,neet,B,173,73,doctor,75,no
42,male,programmer,A,163,90,primary,240,no
5,female,engineer,O,152,84,senior high,8000,no
65,third,engineer,B,199,80,doctor,920,no
89,male,neet,A,192,61,junior high,64,no
59,third,salesman,B,169,61,doctor,9800,no
26,third,salesman,A,181,94,senior high,400,no
63,male,chef,O,185,64,doctor,2800,no
34,female,singer,O,140,43,junior high,1000,yes
52,third,singer,A,195,85,senior high,1,no
95,male,teacher,O,151,85,university,42,no
71,female,scientest,AB,171,63,senior high,9500,no
50,male,student,O,158,96,university,7000,no
14,female,chef,A,157,87,primary,4100,no
16,male,student,O,164,71,master,9100,yes
87,female,teacher,O,142,43,junior high,8100,no
40,third,chef,O,170,81,senior high,2800,yes
63,male,chef,B,183,96,doctor,2200,no
34,female,scientest,O,199,51,senior high,2000,yes
8,female,chef,B,181,40,junior high,840,no
99,female,neet,O,149,77,junior high,590,no
60,third,neet,AB,197,81,master,91,no
